Question,label,pred,diff
Does the atmosphere connect the ocean's regions of net fresh water loss to those of fresh water gain?,1,1,0
"Does the distribution of salinity at the ocean surface largely reflect the spatial pattern of evaporation minus precipitation, runoff from land, and sea ice processes?",1,1,0
Is the Atlantic the saltiest ocean basin?,1,0,-1
Does the Pacific ocean experience nearly balanced precipitation gain and evaporation loss?,1,0,-1
Is the Southern Ocean dominated by precipitation?,1,1,0
Have changes in surface salinity and the upper ocean reinforced the mean salinity pattern?,1,1,0
Have the evaporation-dominated subtropical regions become saltier over time?,1,1,0
Have the precipitation-dominated subpolar and tropical regions become fresher over time?,1,1,0
Have changes in the top 500 m of the ocean shown that the evaporation-dominated Atlantic has become saltier?,1,1,0
Have the nearly neutral Pacific and precipitation-dominated Southern Ocean become fresher in the top 500 m?,1,1,0
Is it difficult to observe changes in precipitation and evaporation directly and globally?,1,1,0
Are long-term precipitation records available only from over the land?,1,0,-1
Are there long-term measurements of evaporation?,0,1,1
Do land-based observations show both increases and decreases in precipitation in different regions?,1,1,0
Do land-based observations indicate more extreme rainfall events and more flooding associated with earlier snow melt at high northern latitudes?,1,1,0
Can land-based observations provide evidence of changes in drought?,0,1,1
Does ocean salinity act as a sensitive and effective rain gauge over the ocean?,1,1,0
Does ocean salinity naturally reflect and smooth out the difference between water gained by the ocean from precipitation and water lost through evaporation?,1,1,0
Is ocean salinity affected by water runoff from the continents?,1,1,0
Is ocean salinity affected by the melting and freezing of sea ice or floating glacial ice?,1,1,0
Can fresh water added by melting ice on land change global-averaged salinity?,1,1,0
Have changes in precipitation and runoff minus evaporation resulted in widespread salinity changes in the upper ocean over the past 50 years?,1,1,0
Does the Earth's water cycle involve condensation?,0,1,1
Are changes in the atmosphere's water vapor content unrelated to climate change?,0,0,0
Is there a lack of long-term observations of rain and evaporation over the global land areas?,0,1,1
Is the water cycle expected to remain the same in a warmer climate?,0,0,0
Does colder air have the ability to hold more water vapor than warmer air?,0,0,0
Have observations since the 1970s shown decreases in surface and lower atmospheric water vapor?,0,0,0
Are evaporation and precipitation projected to decrease in a warmer climate?,0,0,0
Do recorded changes in ocean salinity contradict the projection of intensifying evaporation and precipitation in a warmer climate?,0,0,0
Does seawater's salinity change over short time scales?,1,1,0
Can the addition or removal of salt alter seawater's salinity?,0,1,1
Does the atmosphere disconnect the ocean's regions of net fresh water loss from those of fresh water gain?,0,0,0
"Does the distribution of salinity at the ocean surface largely reflect the spatial pattern of precipitation minus evaporation, runoff from land, and sea ice processes?",0,1,1
Is the Atlantic the least salty ocean basin?,0,0,0
Does the Pacific ocean experience predominantly evaporation and minimal precipitation?,0,0,0
Is the Southern Ocean dominated by evaporation?,0,0,0
Have changes in surface salinity and the upper ocean contradicted the mean salinity pattern?,0,0,0
Have the evaporation-dominated subtropical regions become fresher over time?,0,0,0
Have the precipitation-dominated subpolar and tropical regions become saltier over time?,0,1,1
Have changes in the top 500 m of the ocean shown that the evaporation-dominated Atlantic has become fresher?,0,0,0
Have the nearly neutral Pacific and precipitation-dominated Southern Ocean become saltier in the top 500 m?,0,0,0
Is it easy to observe changes in precipitation and evaporation directly and globally?,0,0,0
Are long-term precipitation records available from both land and ocean?,0,1,1
Are there long-term measurements of evaporation over the oceans?,1,0,-1
Do land-based observations only show changes in precipitation?,0,0,0
Do land-based observations indicate no changes in extreme rainfall events and flooding associated with snow melt?,0,0,0
Can land-based observations provide evidence of changes in drought?,1,1,0
Does ocean salinity act as an insensitive and ineffective rain gauge over the ocean?,0,0,0
Does ocean salinity reflect and amplify the difference between water gained by the ocean from precipitation and water lost through evaporation?,0,1,1
Is ocean salinity affected by water runoff from the continents?,0,1,1
Is ocean salinity affected by the melting and freezing of land-based glaciers?,0,1,1
Can fresh water added by melting ice on land significantly change global-averaged salinity?,0,1,1
Have changes in precipitation and runoff minus evaporation resulted in localized salinity changes in the upper ocean over the past 50 years?,0,1,1
Does anthropogenic climate change result from increasing carbon dioxide concentrations in the atmosphere?,1,1,0
Does anthropogenic ocean acidification result from increasing carbon dioxide concentrations in the atmosphere?,1,1,0
Do rising levels of carbon dioxide indirectly alter the climate system by trapping heat?,1,1,0
Is seawater currently absorbing about 30% of the anthropogenic CO2 from the atmosphere?,1,1,0
Does ocean acidification refer to a reduction in pH over an extended period caused primarily by the uptake of CO2 from the atmosphere?,1,1,0
Is pH a dimensionless measure of acidity?,1,1,0
Does ocean acidification describe the direction of pH change rather than the end point?,1,1,0
Is ocean pH expected to become acidic (pH < 7) due to ocean acidification?,0,0,0
Can ocean acidification be caused by natural factors such as increased volcanic activity?,1,1,0
Can ocean acidification be caused by human-induced factors such as the release of nitrogen and sulfur compounds into the atmosphere?,1,1,0
Does anthropogenic ocean acidification refer to the component of pH reduction caused by human activity?,1,1,0
Has the release of CO2 from industrial and agricultural activities resulted in increased global average atmospheric CO2 concentrations?,1,1,0
"Are the atmospheric CO2 concentrations higher now than at any time in the past 800,000 years?",1,1,0
Is the ocean's uptake of CO2 having a significant impact on the chemistry of seawater?,1,1,0
Has the average pH of ocean surface waters fallen since the beginning of the Industrial Revolution?,1,1,0
Does a change of 1 unit on the pH scale correspond to a 10-fold change in hydrogen ion concentration?,1,1,0
Do the reactions between atmospheric CO2 and seawater increase the concentrations of carbon species in the ocean?,1,1,0
Are the reactions between atmospheric CO2 and seawater fully reversible?,1,1,0
Does the addition of anthropogenic CO2 into the oceans lower the pH and consume carbonate ion?,1,1,0
Are marine ecosystems highly susceptible to the increases in oceanic CO2 and the corresponding decreases in pH and carbonate ion?,1,1,0
Do climate change and anthropogenic ocean acidification act independently of each other?,0,0,0
Does ocean warming reduce the solubility of carbon dioxide in seawater?,1,1,0
Does a warmer ocean have less capacity to remove CO2 from the atmosphere?,1,1,0
Does a warmer ocean still experience ocean acidification even with reduced CO2 absorption capacity?,1,1,0
"Does bicarbonate convert to carbonate in a warmer ocean, releasing a hydrogen ion?",1,1,0
Does the conversion of bicarbonate to carbonate stabilize the pH in a warmer ocean?,1,1,0
Has the annual average extent of sea ice in the Arctic decreased over the past 34 years?,1,1,0
Has the average winter thickness of Arctic Ocean sea ice decreased between 1978 and 2008?,1,1,0
Has the total volume (mass) of Arctic sea ice decreased at all times of the year?,1,1,0
Is the more rapid decrease in the extent of sea ice at the summer minimum a consequence of trends in the Arctic?,1,1,0
Has the total extent of Antarctic sea ice shown a small increase over the past 34 years?,1,1,0
Are there strong regional differences in the changes of Antarctic sea ice around the continent?,1,1,0
"Are there enough measurements of Antarctic sea ice thickness to determine whether its total volume (mass) is decreasing, steady, or increasing?",0,0,0
Does a large part of the total Arctic sea ice cover lie above 60 degreesN?,1,1,0
"Is the Arctic sea ice surrounded by land to the south with openings to the Canadian Arctic Archipelago, and the Bering, Barents, and Greenland seas?",1,1,0
Can some of the ice within the Arctic Basin survive for several seasons?,1,1,0
Can seasonal sea ice grow to only ~2 m in thickness?,1,1,0
Can sea ice that is more than 1 year old (perennial ice) be several meters thicker than seasonal ice?,1,1,0
"Does Arctic sea ice drift within the basin, driven by wind and ocean currents?",1,1,0
Does the mean drift pattern of Arctic sea ice exhibit a clockwise circulation pattern in the western Arctic?,1,1,0
Does the Transpolar Drift Stream transport Siberian sea ice across the Arctic and export it from the basin through the Fram Strait?,1,1,0
Have satellites with the capability to distinguish ice and open water provided a picture of the sea ice cover changes since 1979?,1,1,0
Has the annual average extent of ice in the Arctic decreased by 3.8% per decade since 1979?,1,1,0
Has the decline in extent of Arctic ice at the end of summer (in late September) been greater than the overall annual average decrease?,1,1,0
Has the decadal average extent of the September minimum Arctic ice cover increased for each decade since satellite records began?,0,0,0
Do submarine and satellite records suggest that the thickness of Arctic ice and the total volume are increasing?,0,0,0
Are changes in the relative amounts of perennial and seasonal ice contributing to the reduction in ice volume in the Arctic?,1,1,0
Has approximately 17% of the type of sea ice found in the Arctic been lost to melt and export out of the basin since 1979?,1,1,0
Can the area of Arctic sea ice coverage fluctuate from year to year because of variable seasonal production?,1,1,0
Can the proportion of thick perennial ice and the total sea ice volume in the Arctic recover quickly?,0,0,0
Is the sea ice cover around Antarctica constrained to latitudes north of 78 degreesS because of the presence of the continental land mass?,1,1,0
Is the Antarctic sea ice cover largely seasonal with an average thickness of only ~1 m at the time of maximum extent?,1,1,0
Does very little Antarctic sea ice survive the summer minimum in February?,1,1,0
Is the snowfall rate over Antarctic sea ice higher than in the Arctic?,1,0,-1
Can seawater infiltrate the base of the snow pack in Antarctica when the snow load from snowfall depresses the ice surface below sea level?,1,1,0
Does the formation of snow-ice contribute to the seasonal growth in ice thickness and total ice volume in the Antarctic?,1,1,0
Is snow-ice formation in the Antarctic sensitive to changes in precipitation?,1,1,0
Is the latitudinal extent of the Antarctic sea ice cover highly variable?,1,1,0
Does sea ice drift predominantly from east to west near the Antarctic coast?,1,0,-1
Does sea ice drift from west to east and highly diverge further north near the Antarctic?,1,0,-1
Do distinct clockwise circulation patterns transport ice northward in the Weddell and Ross seas?,1,1,0
Does the circulation pattern around East Antarctica vary more compared to other regions?,1,1,0
Is the northward extent of the sea ice cover around Antarctica controlled in part by divergent drift conducive to new ice formation in persistent open water areas (polynyas) along the coastlines?,1,1,0
Do zones of ice formation in Antarctica result in saltier and denser ocean water?,1,1,0
Are zones of ice formation in Antarctica one of the primary sources of the deepest water found in the global oceans?,1,1,0
Has the annual extent of sea ice in the Antarctic increased at about 1.5% per decade over the past 34 years?,1,0,-1
Are there regional differences in trends of Antarctic sea ice extent?,1,1,0
Have decreases been observed in the Bellingshausen and Amundsen seas regarding Antarctic sea ice extent?,1,1,0
Has there been a larger increase in sea ice extent in the Ross Sea compared to other regions in Antarctica?,1,1,0
Is the overall increase in Antarctic sea ice extent meaningful as an indicator of climate due to variations from year to year and from place to place around the continent?,1,0,-1
Does the available evidence preclude making robust statements about overall changes in Antarctic sea ice and their causes?,1,0,-1
Are there large differences in the physical environment and processes affecting the state of Arctic and Antarctic sea ice cover?,1,1,0
Have satellite observations provided a clear picture of the decline of the Arctic sea ice cover?,1,1,0
Is it possible to make robust statements about the overall changes in Antarctic sea ice and their causes without better ice thickness and ice volume estimates?,1,0,-1
Are glaciers disappearing in response to atmospheric temperature increases?,1,1,0
Have glaciers disappeared in the Canadian Arctic and Rocky Mountains?,1,1,0
Have glaciers disappeared in the Andes?,1,0,-1
Have glaciers disappeared in Patagonia?,1,1,0
Have glaciers disappeared in the European Alps?,1,1,0
Have glaciers disappeared in the Tien Shan?,1,1,0
"Have glaciers disappeared in tropical mountains in South America, Africa, and Asia?",1,1,0
Have more than 600 glaciers disappeared over the past decades?,1,1,0
Will many more glaciers disappear even if there is no further warming?,1,1,0
"Will some mountain ranges lose most, if not all, of their glaciers?",1,1,0
Has glacier volume decreased considerably over the past 150 years in all mountain regions where glaciers exist today?,1,1,0
Have many small glaciers disappeared over the past 150 years?,1,1,0
Was glacier shrinkage already widespread during the 1940s and since the 1980s?,1,1,0
"Were there phases of relative stability during the 1890s, 1920s, and 1970s?",1,1,0
Do conventional in situ measurements provide robust evidence that glaciers continue to shrink?,1,1,0
Do airborne and satellite measurements provide robust evidence that glaciers continue to shrink?,1,1,0
Have individual glaciers advanced while most others were in retreat in some regions?,1,1,0
Can advances of individual glaciers be the result of special topographic and/or climate conditions?,1,1,0
"Will larger glaciers continue to shrink over the next few decades, even if temperatures stabilize?",1,1,0
Will smaller glaciers adjust their extent faster and ultimately disappear entirely?,1,1,0
Do many factors influence the future development of each glacier and whether it will disappear?,1,1,0
"Do factors such as size, slope, elevation range, distribution of area with elevation, and surface characteristics vary substantially from region to region?",1,1,0
"Are external factors, such as surrounding topography and climatic regime, important for future glacier evolution?",1,1,0
Do glaciers respond to climate change individually and differently in detail over one or two decades?,1,1,0
Is the response of glaciers more coherent and less dependent on local environmental details over periods longer than about 50 years?,1,1,0
Can long-term trends in glacier development be well modeled?,1,1,0
"Does an increase in local mean air temperature, with no change in precipitation, cause an upward shift of the equilibrium line altitude (ELA)?",1,1,0
Does each degree Celsius of atmospheric warming cause an upward shift of the ELA by about 150 m?,1,1,0
Will glaciers with the ELA permanently above their highest point eventually disappear entirely?,1,1,0
Will higher glaciers that retain their accumulation areas shrink but not disappear?,1,1,0
"Can a large valley glacier lose much of its tongue, leaving a lake in its place?",1,1,0
Do changes in the quantity and seasonality of precipitation influence the shift of the ELA?,1,1,0
"Do flat, low-lying tongues of large valley glaciers currently show the strongest mass losses?",1,1,0
Do smaller mountain glaciers adjust more quickly to the new climate?,1,1,0
Is modeling short-term glacier response or the long-term response of more complex glacier types difficult?,1,1,0
Does the Karakoram-Himalaya mountain range have a large variety of glacier types and climatic conditions?,1,1,0
Are glacier characteristics in the Karakoram-Himalaya mountain range still only poorly known?,1,0,-1
Are gaps in knowledge expected to decrease substantially in the coming years?,1,1,0
Will the fate of glaciers be variable depending on their specific characteristics and future climate conditions?,1,1,0
Will more glaciers disappear?,1,1,0
Might some glaciers not change substantially?,1,1,0
Will a glacier destined to disappear entirely unless climate cools if the ELA is already above its highest elevation?,1,1,0
Will all glaciers disappear in regions where the ELA rises above their highest elevation in the future?,1,1,0
Is total solar irradiance (TSI) a measure of the total energy received from the sun at the top of the atmosphere?,1,1,0
Does TSI vary over a wide range of time scales?,1,1,0
Have variations in solar irradiance been relatively small over the past 140 years?,1,1,0
Are changes in solar irradiance an important driver of climate variability?,1,1,0
Are volcanic emissions and anthropogenic factors important drivers of climate variability?,1,1,0
Can solar variability alone explain the observed increase in global surface temperatures since the late 1970s?,0,0,0
Is the Sun's core a massive nuclear fusion reactor?,1,1,0
Does the Sun's core convert hydrogen into helium?,1,1,0
Does the process in the Sun's core produce energy that radiates throughout the solar system as electromagnetic radiation?,1,1,0
Does the amount of energy striking the top of Earth's atmosphere vary?,1,1,0
Do satellite-based instruments directly measure TSI since 1978?,1,1,0
"Does about 30% of the power from TSI get reflected back into space by parts of the Earth's surface, air pollution, and clouds?",1,1,0
Are higher levels of TSI recorded when the Sun is more active?,1,1,0
Do irradiance variations follow the roughly 11-year sunspot cycle?,1,1,0
Are TSI variations estimated from sunspot numbers and radioisotopes for pre-satellite times?,1,1,0
Were there distinct periods of very low solar activity called grand solar minima?,1,1,0
Are most estimates of TSI changes between the Maunder Minimum and the present day in the order of 0.1%?,1,1,0
Can solar variability help explain the observed global surface temperature record back to 1870?,1,1,0
Are there other climate drivers involved in explaining the observed climate change?,1,1,0
Are anthropogenic factors related to human activities?,1,1,0
Does internal variability refer to fluctuations within the climate system?,1,1,0
Do the relative contributions of natural and anthropogenic factors change with time?,1,1,0
Has the global surface temperature increased by approximately 0.8 degrees Celsius from 1870 to 2010?,1,1,0
Has the increase in global surface temperature been uniform over time?,0,0,0
Is the solar contribution to the global surface temperature change dominated by the 11-year solar cycle?,1,0,-1
Can the solar contribution explain global temperature fluctuations up to approximately 0.1 degrees Celsius?,1,1,0
Can volcanic eruptions cool the Earth's surface?,1,1,0
Can large volcanic eruptions cool the surface by around 0.1 degrees Celsius to 0.3 degrees Celsius for up to three years?,1,1,0
Does the El Nino Southern Oscillation have a major effect on year-to-year variations of tropical and global mean temperature?,1,1,0
Do El Nino events contribute to relatively high annual temperatures?,1,1,0
Does the variability of observed global surface temperatures reflect the combined influences of natural and anthropogenic factors?,1,1,0
Were solar and volcanic activity and internal variability more important contributors to global surface temperatures before 1870?,1,1,0
Are solar minima lasting several decades often associated with cold conditions?,1,1,0
Can changes in solar activity affect regional surface climate and atmospheric circulation?,1,1,0
Do the mechanisms that amplify the regional effects of TSI have little effect on global mean temperatures?,1,0,-1
Is there high confidence that the effects of solar activity will be much smaller than anthropogenic effects?,1,1,0
Does a decrease in solar activity raise the question of its future influence on climate?,1,1,0
Are future solar activity effects expected to be larger than changes due to anthropogenic effects?,0,0,0
Can fluctuations in TSI be considered relatively small?,0,1,1
Does the increase in global surface temperatures since the late 1970s coincide with the direct measurement of TSI by satellites?,0,1,1
Is the process in the Sun's core responsible for producing electromagnetic radiation?,1,1,0
Does the Sun's core convert helium into hydrogen?,0,0,0
Does the amount of energy striking the top of Earth's atmosphere remain constant?,0,0,0
Are TSI values consistent over time with no fluctuations?,0,0,0
Are TSI variations estimated solely from satellite data?,0,0,0
Are there periods of high solar activity referred to as grand solar minima?,0,0,0
Are estimates of TSI changes between the Maunder Minimum and the present day larger than the amplitude of the 11-year variability?,0,0,0
Can solar variability alone explain the observed global surface temperature record back to 1870?,0,0,0
Are greenhouse gases the only anthropogenic factor affecting global surface temperatures?,0,0,0
Does internal variability only refer to weather variability?,0,0,0
Can the contributions of natural and anthropogenic factors to global surface temperatures remain constant?,0,0,0
Has the global surface temperature decreased by approximately 0.8 degrees Celsius from 1870 to 2010?,0,0,0
Is the solar contribution to the global surface temperature change dominated by the 5-year solar cycle?,0,0,0
Do volcanic eruptions contribute to global surface temperature change by injecting greenhouse gases into the atmosphere?,0,1,1
Can internal climate variability have a major effect on global mean temperature?,0,1,1
Does the variability of observed global surface temperatures reflect only anthropogenic factors?,0,0,0
Were volcanic activity and internal variability less important contributors to global surface temperatures before 1870?,0,0,0
Does the solar contribution have a significant impact on global surface temperatures during periods of solar minima?,0,0,0
Can changes in solar activity only affect global mean temperatures?,0,0,0
Is there high uncertainty regarding the effects of future solar activity on climate?,0,1,1
Did the mean global sea level change average 1.7 mm yr-1 during the 20th century?,1,1,0
Has the rate of mean global sea level change been between 2.8 and 3.6 mm yr-1 since 1993?,1,1,0
Were there more rapid rates of sea level change during past periods of rapid ice sheet disintegration?,1,1,0
Can exceptional tectonic effects drive very rapid local sea level changes?,1,1,0
